iter	Passed	Remaining
0	1	163
1	2	139
2	4	137
3	5	125
4	6	124
5	7	121
6	9	119
7	10	117
8	11	117
9	14	126
10	15	123
11	16	122
12	18	120
13	19	118
14	20	117
15	21	115
16	23	113
17	24	111
18	25	110
19	28	112
20	29	111
21	30	109
22	32	108
23	33	105
24	34	103
25	35	102
26	37	100
27	38	98
28	39	95
29	40	94
30	42	95
31	44	93
32	45	91
33	46	89
34	47	88
35	50	89
36	51	87
37	52	86
38	54	84
39	55	83
40	57	83
41	58	80
42	59	79
43	61	77
44	62	76
45	63	74
46	64	72
47	65	71
48	67	69
49	68	68
50	69	66
51	70	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	82	50
62	84	49
63	85	48
64	87	47
65	89	46
66	90	44
67	91	43
68	93	41
69	94	40
70	95	38
71	96	37
72	97	36
73	99	34
74	101	33
75	104	32
76	105	31
77	107	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	116	22
84	118	20
85	119	19
86	121	18
87	122	16
88	124	15
89	125	13
90	126	12
91	127	11
92	128	9
93	130	8
94	133	7
95	134	5
96	135	4
97	137	2
98	138	1
99	139	0
