iter	Passed	Remaining
0	155	154935
1	162	81037
2	169	56230
3	174	43447
4	181	36196
5	187	31098
6	193	27494
7	199	24720
8	205	22676
9	211	20889
10	217	19580
11	222	18355
12	228	17333
13	234	16529
14	237	15614
15	240	14795
16	244	14122
17	246	13465
18	248	12835
19	250	12266
20	251	11746
21	253	11279
22	255	10852
23	258	10525
24	260	10176
25	262	9843
26	264	9541
27	266	9253
28	268	8986
29	270	8757
30	273	8538
31	275	8320
32	276	8115
33	278	7922
34	280	7741
35	282	7567
36	284	7410
37	287	7268
38	289	7126
39	291	6985
40	292	6852
41	294	6723
42	297	6615
43	300	6521
44	302	6415
45	304	6308
46	306	6205
47	307	6106
48	309	6014
49	311	5927
50	314	5856
51	316	5775
52	318	5694
53	320	5618
54	324	5574
55	326	5501
56	328	5438
57	331	5380
58	332	5310
59	334	5243
60	336	5186
61	338	5125
62	340	5068
63	343	5021
64	345	4973
65	347	4919
66	349	4872
67	351	4824
68	353	4775
69	355	4726
70	357	4680
71	360	4644
72	362	4601
73	364	4557
74	366	4515
75	367	4473
76	369	4431
77	371	4389
78	374	4363
79	376	4331
80	378	4297
81	380	4262
82	381	4217
83	383	4184
84	385	4153
85	390	4152
86	393	4127
87	395	4096
88	397	4068
89	399	4038
90	401	4006
91	403	3985
92	406	3960
93	407	3930
94	409	3901
95	411	3872
96	412	3844
97	414	3817
98	416	3792
99	420	3781
100	422	3757
101	424	3732
102	425	3707
103	427	3683
104	429	3661
105	431	3639
106	435	3632
107	437	3609
108	438	3586
109	440	3563
110	442	3541
111	444	3521
112	445	3499
113	448	3486
114	450	3467
115	452	3447
116	453	3426
117	456	3409
118	458	3391
119	459	3371
120	461	3354
121	463	3338
122	466	3323
123	468	3306
124	469	3289
125	471	3271
126	473	3251
127	475	3237
128	477	3221
129	479	3210
130	481	3196
131	483	3181
132	486	3171
133	488	3158
134	490	3145
135	494	3139
136	497	3136
137	500	3125
138	503	3117
139	505	3104
140	507	3094
141	509	3079
142	512	3068
143	513	3054
144	516	3045
145	519	3036
146	521	3024
147	525	3022
148	527	3010
149	528	2997
150	530	2985
151	532	2972
152	534	2959
153	536	2947
154	539	2941
155	541	2929
156	543	2918
157	545	2907
158	547	2896
159	549	2884
160	550	2870
161	553	2863
162	555	2853
163	557	2842
164	561	2842
165	565	2838
166	568	2836
167	570	2826
168	572	2817
169	574	2806
170	577	2798
171	579	2787
172	581	2778
173	584	2773
174	586	2762
175	588	2752
176	589	2742
177	592	2734
178	594	2726
179	596	2717
180	599	2710
181	600	2700
182	602	2690
183	604	2679
184	605	2669
185	607	2659
186	609	2649
187	612	2644
188	614	2636
189	616	2627
190	618	2617
191	619	2608
192	621	2598
193	623	2589
194	625	2580
195	628	2577
196	630	2569
197	632	2560
198	634	2552
199	635	2542
200	637	2533
201	639	2524
202	641	2519
203	643	2512
204	646	2505
205	648	2498
206	650	2490
207	652	2483
208	654	2475
209	656	2470
210	658	2463
211	660	2456
212	662	2449
213	664	2441
214	666	2433
215	669	2428
216	671	2422
217	673	2414
218	675	2407
219	677	2400
220	678	2393
221	680	2385
222	682	2378
223	684	2371
224	687	2366
225	689	2361
226	691	2354
227	693	2347
228	695	2340
229	697	2333
230	698	2326
231	701	2321
232	703	2315
233	705	2309
234	707	2301
235	709	2295
236	711	2289
237	712	2282
238	714	2275
239	716	2269
240	718	2263
241	720	2257
242	722	2251
243	725	2246
244	726	2239
245	728	2233
246	731	2229
247	733	2224
248	735	2218
249	737	2213
250	739	2207
251	741	2202
252	744	2196
253	746	2192
254	748	2187
255	751	2183
256	753	2178
257	755	2173
258	758	2168
259	762	2169
260	764	2165
261	766	2159
262	769	2155
263	771	2149
264	773	2144
265	775	2140
266	777	2135
267	780	2131
268	782	2126
